aX,aY,aZ,gX,gY,gZ
-0.844,-2.057,0.378,-94.788,0.305,-105.408
-0.903,-2.287,0.581,-95.642,1.343,-78.308
-0.907,-2.477,0.733,-103.333,19.836,-37.842
-0.843,-2.522,0.818,-113.281,51.331,10.315
-0.773,-2.489,0.894,-110.718,83.618,59.631
-0.644,-2.392,0.899,-89.539,101.135,98.999
-0.516,-2.254,0.823,-54.932,97.778,120.850
-0.410,-2.086,0.715,-17.151,76.660,126.587
-0.268,-1.910,0.549,11.475,46.814,122.986
-0.163,-1.794,0.411,28.259,23.010,119.507
-0.081,-1.707,0.336,34.302,14.160,120.850
-0.033,-1.634,0.269,31.738,15.198,125.122
0.005,-1.582,0.239,26.428,22.034,131.226
0.020,-1.559,0.220,23.682,26.306,137.573
0.043,-1.550,0.250,26.245,21.912,141.296
0.040,-1.578,0.287,35.583,8.057,141.785
0.086,-1.591,0.306,49.072,-7.263,141.785
0.088,-1.547,0.364,62.317,-19.165,144.409
0.096,-1.487,0.424,71.594,-21.851,149.414
0.111,-1.427,0.480,76.904,-16.785,155.884
0.131,-1.356,0.529,81.726,-8.240,161.072
0.133,-1.271,0.553,86.182,-1.404,162.537
0.082,-1.202,0.532,89.661,2.441,163.208
-0.021,-1.146,0.453,94.238,2.686,162.415
-0.117,-1.167,0.359,104.309,-0.183,160.034
-0.163,-1.128,0.296,119.446,-9.949,157.227
-0.287,-1.090,0.174,134.094,-12.390,170.349
-0.277,-1.138,0.158,142.151,-5.310,191.162
-0.181,-1.109,0.168,147.400,-1.404,201.355
-0.061,-1.091,0.270,153.564,-1.404,212.158
0.009,-0.916,0.290,150.513,-22.461,218.018
-0.024,-0.613,0.303,143.250,-47.241,229.309
0.026,-0.499,0.291,129.944,-70.374,245.422
0.005,-0.369,0.211,111.084,-87.463,256.287
-0.067,-0.242,0.015,99.121,-89.966,257.874
-0.079,-0.237,0.013,106.018,-66.589,253.601
-0.007,-0.238,0.036,121.277,-46.753,244.324
0.003,-0.220,0.012,137.146,-43.213,234.924
-0.016,-0.172,-0.032,148.254,-46.326,230.103
0.045,-0.108,-0.072,153.503,-49.194,233.032
0.121,-0.002,-0.081,153.137,-51.819,244.507
0.148,0.111,-0.086,144.592,-52.795,261.963
0.172,0.249,-0.059,128.723,-51.208,277.954
0.199,0.357,0.037,109.009,-47.791,287.537
0.292,0.493,-0.003,89.172,-51.086,285.706
0.275,0.509,-0.026,80.322,-56.763,280.090
0.238,0.449,-0.038,83.740,-64.453,267.639
0.227,0.405,-0.060,99.426,-75.745,248.352
0.268,0.350,-0.053,119.873,-89.722,231.323
0.288,0.330,0.000,135.620,-102.844,221.436
0.284,0.370,0.060,139.709,-110.840,220.337
0.311,0.467,0.100,130.798,-108.826,223.755
0.366,0.549,0.136,115.417,-100.830,227.905
0.409,0.612,0.151,96.863,-93.933,230.347
0.427,0.635,0.147,82.214,-93.079,229.675
0.480,0.654,0.181,75.562,-94.604,225.159
0.536,0.717,0.228,76.233,-98.511,213.745
0.569,0.757,0.266,78.613,-99.915,202.881
0.612,0.779,0.291,80.383,-100.952,190.674
0.645,0.796,0.287,82.703,-101.135,177.124
0.616,0.767,0.318,85.510,-98.816,165.161
0.726,0.798,0.375,86.121,-91.614,154.541
0.800,0.843,0.418,83.008,-86.975,147.888
0.869,0.880,0.465,74.951,-84.778,147.217
0.960,0.982,0.542,64.758,-80.383,149.963
1.090,1.106,0.600,50.842,-72.815,148.987
1.173,1.203,0.610,36.194,-64.758,143.127
1.208,1.257,0.590,28.076,-56.763,131.836
1.226,1.291,0.578,30.029,-48.584,112.915
1.255,1.304,0.599,38.269,-40.527,87.891
1.335,1.297,0.627,48.767,-32.898,61.890
1.410,1.301,0.644,54.810,-26.794,40.466
1.408,1.324,0.627,52.063,-21.423,26.489
1.425,1.354,0.598,43.091,-12.512,14.648
1.455,1.395,0.585,30.029,-0.061,4.028
1.471,1.435,0.550,13.123,13.428,-5.432
1.451,1.429,0.484,-4.211,25.330,-16.968
1.393,1.389,0.419,-17.761,34.485,-31.677
1.313,1.343,0.396,-25.696,40.405,-49.072
1.256,1.278,0.379,-29.114,43.335,-68.604
1.199,1.220,0.374,-31.799,44.617,-86.182
1.146,1.173,0.372,-37.292,48.157,-99.182
1.113,1.137,0.380,-47.607,52.734,-108.215
1.076,1.113,0.392,-60.730,57.434,-113.953
1.032,1.084,0.395,-74.646,62.988,-119.141
0.982,1.044,0.394,-86.365,68.115,-126.221
0.922,0.999,0.390,-94.482,71.533,-135.559
0.872,0.952,0.362,-99.365,71.960,-147.034
0.819,0.899,0.336,-102.051,71.472,-159.485
0.767,0.838,0.331,-102.966,71.289,-170.959
0.713,0.766,0.330,-102.173,72.327,-181.702
0.674,0.693,0.329,-100.281,73.303,-191.040
0.629,0.615,0.313,-98.633,74.646,-197.998
0.611,0.546,0.312,-97.778,77.881,-202.271
0.533,0.489,0.283,-99.854,81.909,-203.674
0.555,0.416,0.296,-101.929,84.839,-204.651
0.473,0.397,0.217,-104.492,82.275,-206.177
0.486,0.314,0.232,-105.225,86.426,-207.703
0.446,0.280,0.184,-106.140,86.670,-213.196
0.391,0.213,0.138,-104.614,85.999,-218.811
0.365,0.146,0.093,-98.694,84.229,-226.257
0.350,0.074,0.079,-86.731,80.383,-232.239
0.350,0.017,0.073,-72.632,71.777,-237.610
0.382,-0.008,0.043,-59.387,61.584,-240.234
0.382,-0.014,0.012,-48.523,54.688,-239.624
0.390,-0.015,0.013,-44.067,56.335,-235.596
0.366,-0.062,0.039,-51.147,66.040,-226.318
0.362,-0.077,0.024,-67.078,72.083,-216.919
0.348,-0.049,-0.000,-82.458,72.754,-209.229
0.325,-0.084,-0.017,-93.384,69.824,-203.247
0.328,-0.114,-0.022,-100.647,64.941,-201.904
0.340,-0.126,0.001,-103.027,59.814,-201.843
0.355,-0.146,0.040,-105.286,58.167,-201.416
0.342,-0.153,0.056,-112.732,60.181,-199.707
0.333,-0.167,0.074,-123.413,63.721,-196.899
0.328,-0.179,0.092,-131.897,67.200,-194.885
0.309,-0.201,0.128,-138.000,70.923,-192.810
0.301,-0.222,0.142,-143.494,72.876,-190.613
0.276,-0.242,0.138,-147.644,70.923,-188.354

-0.592,-1.918,0.465,-132.446,26.245,-195.679
-0.625,-2.106,0.448,-115.784,29.297,-170.471
-0.678,-2.202,0.362,-100.586,32.471,-139.099
-0.736,-2.278,0.334,-89.905,32.288,-103.149
-0.730,-2.352,0.401,-82.764,26.001,-66.040
-0.683,-2.378,0.492,-76.172,14.954,-28.381
-0.633,-2.331,0.653,-68.481,6.775,7.690
-0.553,-2.296,0.848,-56.519,0.305,36.743
-0.428,-2.277,0.987,-39.429,-4.944,57.861
-0.304,-2.235,1.049,-20.325,-12.329,72.998
-0.181,-2.168,1.053,-0.305,-19.714,84.351
-0.097,-2.120,1.050,20.142,-23.315,96.924
-0.001,-2.005,0.968,34.119,-24.292,110.046
0.037,-1.863,0.877,44.312,-25.208,122.498
0.061,-1.758,0.776,53.162,-25.818,133.667
0.115,-1.677,0.690,60.791,-24.841,143.311
0.144,-1.614,0.610,67.200,-25.146,150.940
0.142,-1.558,0.550,74.341,-27.100,156.433
0.126,-1.512,0.499,82.153,-27.893,160.034
0.101,-1.480,0.477,89.722,-28.137,162.415
0.104,-1.484,0.494,98.572,-29.968,165.527
0.094,-1.471,0.522,110.718,-34.790,170.715
0.073,-1.393,0.531,121.643,-39.185,177.063
0.078,-1.295,0.521,128.845,-39.124,186.035
0.101,-1.207,0.487,133.667,-35.278,198.669
0.088,-1.080,0.424,134.277,-29.419,213.989
0.066,-0.897,0.355,132.935,-22.156,229.919
0.050,-0.838,0.234,131.470,-15.564,247.131
0.059,-0.700,0.258,131.958,-3.967,257.996
0.072,-0.633,0.288,141.418,6.348,260.376
0.048,-0.592,0.329,146.851,-1.587,258.972
0.010,-0.522,0.268,145.752,-26.428,252.441
-0.004,-0.439,0.151,146.667,-49.744,249.451
0.037,-0.342,0.125,151.917,-60.059,251.465
0.101,-0.245,0.170,158.142,-56.152,260.620
0.142,-0.139,0.218,158.081,-48.767,273.071
0.177,0.004,0.208,149.902,-43.274,284.119
0.196,0.105,0.200,138.550,-37.231,291.687
0.199,0.173,0.188,128.784,-33.264,292.297
0.199,0.224,0.160,123.169,-32.104,285.645
0.219,0.273,0.143,123.169,-33.264,274.292
0.267,0.288,0.140,128.845,-36.560,260.986
0.321,0.295,0.171,135.498,-39.001,251.099
0.348,0.319,0.182,136.658,-39.612,246.582
0.407,0.393,0.175,132.935,-39.246,244.568
