u,g,r,i,z,label,z1,zerr
17.88222,15.96028,15.0617,14.59634,14.26291,GALAXY,0.02432818,7.33E-06
18.56369,16.72327,15.79623,15.37091,15.00125,GALAXY,0.07012362,1.15E-05
19.29411,17.5023,16.58649,16.16303,15.81341,GALAXY,0.0491895,1.54E-05
19.33359,17.43778,16.45844,15.99958,15.66843,GALAXY,0.08096313,1.11E-05
18.92863,18.66183,18.27742,18.22216,18.33041,QSO,1.234354,0.000313382
19.5264,17.76192,16.82691,16.37489,16.05924,GALAXY,0.07765485,2.44E-05
19.49647,17.52007,16.54872,16.10437,15.78484,GALAXY,0.07953931,1.55E-05
18.93767,17.03938,15.98915,15.44581,15.03827,GALAXY,0.07938673,1.02E-05
19.26322,17.29597,16.37626,15.93663,15.63792,GALAXY,0.0510099,9.38E-06
18.03995,16.84321,16.26401,15.86949,15.62851,GALAXY,0.04825275,7.70E-06
19.00731,17.40295,16.5418,16.10831,15.80252,GALAXY,0.08196606,2.99E-05
19.15632,17.77267,17.10796,16.73705,16.48188,GALAXY,0.05454722,1.93E-05
19.28452,17.91759,17.22385,16.8251,16.54502,GALAXY,0.08133389,1.09E-05
19.51987,17.56103,16.443,15.95302,15.57304,GALAXY,0.1424379,2.51E-05
18.45328,16.97778,16.23817,15.8551,15.56819,GALAXY,0.05143532,2.98E-05
19.00904,18.4407,18.38151,18.31738,18.05974,QSO,2.308053,0.000152995
19.53309,18.10065,17.35092,16.94015,16.65388,GALAXY,0.05032689,1.41E-05
19.46418,18.18091,17.38156,16.92801,16.5897,GALAXY,0.131195,9.15E-06
19.19971,17.22391,16.29199,15.85335,15.48367,GALAXY,0.04954444,1.65E-05
17.95079,16.69164,16.17415,15.86622,15.61787,GALAXY,0.04939231,9.03E-06
19.01166,18.18838,17.74724,17.4458,17.242,GALAXY,0.09339423,7.19E-06
18.77786,17.61962,16.83184,16.38594,16.07188,GALAXY,0.1280325,1.05E-05
19.53382,17.52771,16.44737,15.96554,15.59215,GALAXY,0.1287824,2.46E-05
18.59768,17.44648,17.05926,16.77435,16.66915,GALAXY,0.04858761,1.05E-05
19.28286,17.38029,16.46765,16.03454,15.70917,GALAXY,0.05222972,1.16E-05
17.00208,14.86394,13.89125,13.41016,13.04601,GALAXY,0.03410644,1.00E-05
18.87802,17.48251,16.65159,16.19809,15.87099,GALAXY,0.1198206,1.23E-05
19.596,17.59441,16.4516,15.96343,15.57557,GALAXY,0.1441725,1.60E-05
19.01549,17.587,16.82912,16.37333,16.10467,GALAXY,0.0592973,5.70E-06
18.52117,17.52197,17.10739,16.8194,16.6138,GALAXY,0.05073202,7.69E-06
19.45383,18.93469,18.69518,18.60053,18.6734,GALAXY,0.1623669,7.29E-06
17.91489,16.80007,16.39675,16.17745,15.98579,GALAXY,0.02602868,8.54E-06
19.21379,18.40521,18.24242,18.13168,17.84311,QSO,2.378065,0.000119982
18.68997,16.66547,15.66579,15.18908,14.82203,GALAXY,0.08830171,1.66E-05
18.60612,16.63943,15.70495,15.23682,14.85962,GALAXY,0.05504871,1.82E-05
18.49537,16.73021,16.02265,15.6226,15.32934,GALAXY,0.0582052,1.32E-05
19.15916,17.21304,16.26692,15.81096,15.45809,GALAXY,0.05049584,1.55E-05
19.44997,17.9522,17.21358,16.81824,16.48238,GALAXY,0.09990377,1.64E-05
19.40046,17.90359,17.21947,16.81812,16.57827,GALAXY,0.04937901,9.01E-06
18.73237,17.64589,17.09966,16.69734,16.52438,GALAXY,0.06370528,6.43E-06
19.2626,18.10727,17.25597,16.80877,16.55288,GALAXY,0.1839762,1.01E-05
17.72572,15.8054,14.92063,14.49234,14.1489,GALAXY,0.04930355,8.37E-06
18.25922,17.15127,16.69586,16.47907,16.35023,GALAXY,0.02632841,1.08E-05
19.15446,19.07434,18.88417,18.63302,18.6493,QSO,1.773749,0.000399471
19.31597,17.27567,16.34087,15.91611,15.58535,GALAXY,0.07583243,1.08E-05
19.50939,17.75716,16.7418,16.28689,15.95034,GALAXY,0.1397783,2.22E-05
19.51282,17.75458,16.82673,16.3222,16.01702,GALAXY,0.07900605,1.24E-05
19.00251,17.79944,17.28696,16.93431,16.71174,GALAXY,0.0544904,6.96E-06
15.8028,13.84438,13.01542,12.59071,12.28708,GALAXY,0.02940193,8.70E-06
17.81217,15.95875,15.08176,14.64723,14.33313,GALAXY,0.05358326,1.43E-05
18.56562,17.09737,16.35307,15.93387,15.62801,GALAXY,0.08918943,1.37E-05
17.93743,16.6553,16.00882,15.62739,15.35778,GALAXY,0.0495474,8.47E-06
19.52678,18.40138,17.79974,17.37389,17.11351,GALAXY,0.1410478,6.91E-06
18.92736,19.09955,19.41755,19.73385,19.85746,QSO,2.526848,0.000768404
18.74072,17.28601,16.66703,16.33081,16.08293,GALAXY,0.05827271,1.26E-05
19.54555,19.25855,19.31653,19.14591,19.22923,QSO,1.733628,0.000527734
18.9897,17.86666,17.29833,16.97971,16.77171,GALAXY,0.05662023,1.02E-05
19.5168,17.94829,17.06448,16.62497,16.28414,GALAXY,0.08909952,1.72E-05
18.14449,16.48496,15.72079,15.31802,15.04815,GALAXY,0.0273324,1.44E-05
19.53713,19.27036,19.04065,18.82653,18.87811,QSO,1.471147,0.000463723
19.49781,19.2371,18.90318,18.86986,18.82162,QSO,1.060232,0.00027528
19.35083,18.47885,18.43243,18.33974,18.06214,QSO,2.600047,0.000244609
18.26012,16.23063,15.25806,14.80285,14.4272,GALAXY,0.04854403,1.20E-05
18.19947,16.29715,15.44691,15.02216,14.71665,GALAXY,0.06029158,1.43E-05
18.9989,16.9864,15.988,15.52833,15.15826,GALAXY,0.08973339,1.55E-05
18.50599,17.66475,17.28897,16.90089,16.83671,GALAXY,0.1119501,9.01E-06
18.72816,16.60898,15.55641,15.09419,14.70991,GALAXY,0.0997438,1.88E-05
19.36667,17.39984,16.41181,15.93327,15.55312,GALAXY,0.09531779,2.04E-05
19.29221,18.94026,18.85592,18.61143,18.66174,QSO,1.643555,0.000353499
18.28906,16.47573,15.59772,15.15484,14.8134,GALAXY,0.03564788,1.37E-05
19.01866,17.88906,17.48477,17.1976,17.06417,GALAXY,0.04771046,5.46E-06
18.47933,17.40771,16.94178,16.58402,16.40262,GALAXY,0.0582069,6.27E-06
17.75426,16.72247,16.27696,16.00757,15.77722,GALAXY,0.03334577,4.43E-06
18.68236,16.7477,15.81712,15.33792,14.96605,GALAXY,0.0521159,9.89E-06
16.93709,15.63216,14.95032,14.54238,14.26594,GALAXY,0.04893571,8.16E-06
19.34113,17.84673,17.1976,16.73871,16.48849,GALAXY,0.07311981,6.17E-06
19.52999,17.64028,16.79053,16.40086,16.08352,GALAXY,0.06218507,1.48E-05
19.10303,17.82974,17.12336,16.76845,16.57999,GALAXY,0.1006857,2.57E-05
19.04832,17.91401,17.51528,17.33854,17.09957,GALAXY,0.09209698,5.90E-06
19.10814,17.19642,16.06017,15.60264,15.17645,GALAXY,0.1471623,2.33E-05
17.38556,15.5194,14.66851,14.2435,13.91399,GALAXY,0.03631382,1.03E-05
18.28608,16.64265,15.95543,15.54027,15.24022,QSO,0.04788003,1.83E-05
18.88829,17.55183,16.95141,16.56429,16.35903,GALAXY,0.09006715,1.07E-05
19.11122,17.26639,16.57081,16.22817,15.98665,GALAXY,0.05663946,2.28E-05
18.27065,18.08745,18.08966,18.2218,18.37045,QSO,0.3965296,0.05659872
19.35121,17.92838,17.06908,16.56025,16.28963,GALAXY,0.1526477,9.76E-06
19.36358,18.1437,17.44936,17.03588,16.79858,GALAXY,0.1463828,1.13E-05
18.05146,17.84678,17.7245,17.77599,17.61703,QSO,0.8778362,0.000136311
19.00825,16.91787,15.80131,15.23522,14.73143,GALAXY,0.09039826,2.45E-05
18.86714,17.48195,16.76304,16.36773,16.11463,GALAXY,0.1256691,2.34E-05
18.37519,16.2956,15.33285,14.85617,14.49351,GALAXY,0.02783617,1.18E-05
18.89242,17.21434,16.39425,15.96203,15.63485,GALAXY,0.03629285,1.45E-05
19.17821,18.8431,18.76456,18.62961,18.58672,QSO,1.788705,0.001254214
18.81986,17.05492,16.08624,15.61042,15.24671,GALAXY,0.07080863,1.72E-05
17.43624,15.68831,14.47856,14.11447,13.73141,GALAXY,0.04329774,8.88E-06
18.68414,18.41752,18.14296,18.04186,17.66488,QSO,0.2957959,0.000104577
19.43489,18.33131,18.00412,17.75363,17.60084,GALAXY,0.04831287,6.45E-06
18.7536,16.67715,15.67146,15.20946,14.83923,GALAXY,0.08955604,1.95E-05
18.47569,17.2339,16.67056,16.34663,16.0671,GALAXY,0.02888887,6.20E-06
19.42184,18.27231,17.7073,17.31814,17.11884,GALAXY,0.05860724,5.83E-06
19.46873,18.29588,17.86116,17.60013,17.47918,GALAXY,0.1032483,9.29E-06
18.59544,17.5542,20.72934,16.15292,25.27419,QSO,2.379225,0.000475271
19.51385,18.87451,18.79229,18.67252,18.43752,QSO,2.245245,0.000285965
18.08556,17.71575,17.46049,17.36781,17.20057,QSO,0.8364809,6.85E-05
19.14404,19.01744,18.77033,18.76309,18.81014,QSO,1.317041,0.000950313
19.53574,18.29305,17.7735,17.40596,17.22689,GALAXY,0.09177072,7.30E-06
18.62938,17.02913,16.13298,15.7163,15.37446,GALAXY,0.1219728,3.17E-05
18.65591,17.47211,16.96668,16.61986,16.45507,GALAXY,0.05962236,9.32E-06
19.23601,17.16281,16.14534,15.66507,15.27605,GALAXY,0.05868909,1.45E-05
19.45831,17.97136,16.99777,16.5137,16.17494,GALAXY,0.1592867,2.00E-05
19.15861,17.83767,17.1015,16.68423,16.35048,GALAXY,0.06518105,1.24E-05
19.33747,19.14127,19.03585,18.85448,18.48047,QSO,0.3913201,4.25E-05
19.09588,17.22076,16.32991,15.93065,15.60701,GALAXY,0.1116368,1.64E-05
19.08054,17.64874,16.92232,16.52819,16.25037,GALAXY,0.09704439,1.04E-05
18.86977,17.48806,16.85012,16.5153,16.2905,GALAXY,0.03415447,2.52E-05
19.00736,17.9393,16.98793,16.90313,15.98759,GALAXY,0.02736574,1.08E-05
18.37062,17.2284,16.68625,16.33942,16.14813,GALAXY,0.06022794,1.00E-05
18.69342,17.15669,16.4239,15.98092,15.72441,GALAXY,0.06062866,1.22E-05
19.19891,17.30673,16.39496,15.97786,15.62568,GALAXY,0.05394989,1.34E-05
19.13976,17.97104,17.21191,16.82522,16.4756,GALAXY,0.1063882,2.62E-05
19.55081,17.64917,16.65537,16.23427,15.87713,GALAXY,0.1012253,1.59E-05
18.92271,17.04011,16.14897,15.69965,15.35444,GALAXY,0.03332396,1.20E-05
19.07722,17.9458,17.55769,17.50524,17.17613,GALAXY,0.03841829,8.81E-06
18.56561,16.58551,15.65245,15.2156,14.8853,GALAXY,0.06054277,9.09E-06
17.19971,15.88169,15.24873,14.9066,14.64227,GALAXY,0.03445797,1.12E-05
18.36135,16.92792,16.25615,15.9119,15.62842,GALAXY,0.05186246,2.49E-05
18.78905,16.9392,16.0375,15.60293,15.26688,GALAXY,0.05489824,1.46E-05
18.75065,17.24832,16.54,16.11676,15.83544,GALAXY,0.07407521,6.86E-06
19.2007,17.25047,16.2208,15.77312,15.42725,GALAXY,0.1035511,1.29E-05
18.50088,18.26868,18.22278,18.07446,18.03678,QSO,0.5066258,5.62E-05
19.52905,17.59436,16.6585,16.21175,15.89313,GALAXY,0,0
18.73121,16.96834,16.00579,15.44414,15.02719,GALAXY,0.0791522,8.62E-06
19.35002,18.06988,17.38163,16.99277,16.69367,GALAXY,0.079201,1.85E-05
18.94786,17.378,16.68551,16.32054,16.0459,GALAXY,0.03519092,1.51E-05
19.36665,17.6768,16.85812,16.36386,16.0338,GALAXY,0.04170759,1.83E-05
19.4102,18.06739,17.47996,17.10968,16.93109,GALAXY,0.08702583,1.21E-05
18.85241,17.8265,17.12216,16.61397,16.3577,GALAXY,0.1041755,7.24E-06
19.53465,18.20668,17.72802,17.44042,17.29874,GALAXY,0.04513372,1.36E-05
19.45825,19.35359,19.32032,19.05197,19.09674,QSO,1.872655,0.000441087
18.25264,16.28194,15.40585,14.97746,14.63428,GALAXY,0.04713542,8.72E-06
18.73992,16.73166,15.80049,15.36624,15.04679,GALAXY,0.08045609,1.39E-05
19.25651,17.85905,17.04279,16.57988,16.25076,GALAXY,0.1245829,1.28E-05
19.57361,19.34208,19.08416,19.07324,19.01324,QSO,1.045603,0.000511
19.30504,19.08999,18.95838,18.76369,18.8509,QSO,1.507263,0.000351305
18.3965,17.63394,17.31586,17.09671,16.98179,GALAXY,0.03508265,5.74E-06
17.66573,16.91458,16.74807,16.61929,16.56535,GALAXY,0.02859333,4.81E-06
18.83503,17.38887,16.56751,16.09306,15.74558,GALAXY,0.09454351,1.01E-05
19.32311,17.96829,17.45408,17.14669,16.95674,GALAXY,0.06006181,1.33E-05
18.64031,17.36214,16.74266,16.37173,16.18397,GALAXY,0.08481373,1.06E-05
18.70883,16.60977,15.5608,15.05495,14.63674,GALAXY,0.05909625,1.51E-05
18.15713,17.01549,16.54668,16.28109,16.16588,GALAXY,0.03726938,1.50E-05
19.14358,17.44093,16.58222,16.07225,15.7047,GALAXY,0.05311063,1.29E-05
18.40598,17.41464,17.08081,16.86479,16.72586,GALAXY,0.03374342,6.45E-06
18.9348,17.81008,17.4238,17.20451,17.08622,GALAXY,0.0351255,6.85E-06
18.09029,16.69262,16.13536,15.85922,15.64833,GALAXY,0.03352251,1.24E-05
19.50531,18.38154,17.80274,17.41262,17.11729,GALAXY,0.04741414,6.29E-06
18.65935,17.81233,17.58564,17.15428,17.1078,GALAXY,0.07805017,6.11E-06
14.92428,13.64997,12.9787,12.62806,12.3874,GALAXY,0.009476469,1.58E-05
18.99891,17.69772,16.9427,16.53872,16.27149,GALAXY,0.1031471,1.61E-05
18.92263,17.15646,16.22819,15.68339,15.24804,GALAXY,0.04607323,1.67E-05
19.28166,19.1106,18.71885,18.57507,18.59251,QSO,1.442833,0.000400177
19.2906,17.66897,16.7746,16.30925,15.91561,GALAXY,0.1346579,1.89E-05
19.1859,17.7213,17.19016,16.92724,16.7144,GALAXY,0.05787023,1.65E-05
