aX,aY,aZ,gX,gY,gZ
-0.216,0.411,2.576,14.587,37.598,-20.813
-0.179,0.323,2.716,7.690,66.162,-25.757
-0.208,0.235,2.768,-3.540,96.252,-27.832
-0.219,0.209,2.756,-18.799,128.296,-28.198
-0.191,0.152,2.612,-30.945,162.354,-27.405
-0.192,0.104,2.394,-43.945,194.092,-28.076
-0.160,0.094,2.227,-54.504,217.407,-27.161
-0.136,0.060,2.113,-60.852,231.201,-22.583
-0.194,0.064,2.077,-68.054,239.380,-18.066
-0.238,0.050,2.154,-71.472,246.521,-15.930
-0.231,-0.025,2.280,-72.693,253.052,-15.686
-0.240,-0.094,2.367,-82.092,260.376,-16.418
-0.344,-0.182,2.412,-102.905,271.362,-17.395
-0.262,-0.296,2.325,-125.793,291.870,-14.282
-0.238,-0.360,2.121,-148.560,315.796,-6.714
-0.241,-0.407,1.787,-162.231,346.558,-5.737
-0.303,-0.416,1.441,-179.443,370.728,-4.761
-0.430,-0.389,1.125,-194.580,391.479,-2.991
-0.631,-0.335,0.904,-192.017,402.344,5.493
-0.512,-0.326,0.726,-173.584,408.081,24.048
-0.497,-0.190,0.609,-155.579,393.127,31.433
-0.388,-0.163,0.588,-151.184,369.690,30.579
-0.229,-0.216,0.531,-170.532,347.900,29.175
-0.276,-0.245,0.475,-207.764,334.473,18.250
-0.388,-0.305,0.455,-241.455,336.426,8.911
-0.444,-0.363,0.385,-252.930,348.389,16.296
-0.611,-0.313,0.206,-228.577,363.770,27.527
-0.463,-0.291,-0.044,-192.444,380.737,40.955
-0.593,-0.174,-0.262,-172.485,379.700,50.415
-0.406,0.024,-0.379,-163.025,377.991,55.847
-0.312,0.072,-0.436,-137.695,363.831,58.289
-0.215,0.008,-0.482,-107.544,346.130,52.307
-0.175,-0.067,-0.543,-101.013,325.195,42.175
-0.182,-0.143,-0.620,-118.652,300.415,35.400
-0.253,-0.177,-0.799,-145.081,281.006,28.687
-0.397,-0.210,-1.059,-161.682,273.193,18.311
-0.558,-0.292,-1.373,-154.663,272.156,11.414
-0.650,-0.387,-1.761,-123.657,270.569,13.794
-0.819,-0.378,-2.204,-78.186,258.484,24.597
-0.881,-0.278,-2.699,-33.020,236.572,38.086
-0.932,-0.022,-3.076,7.263,196.228,51.697
-0.972,0.283,-3.323,41.138,144.592,55.481
-1.029,0.497,-3.448,67.017,84.351,51.086
-1.036,0.634,-3.282,83.374,3.479,41.626
-0.937,0.756,-2.876,73.853,-82.825,27.283
-0.799,0.790,-2.408,40.283,-148.804,3.967
-0.666,0.690,-1.930,10.193,-195.496,-27.954
-0.534,0.518,-1.532,0.610,-231.262,-58.289
-0.394,0.338,-1.178,6.226,-256.958,-79.468
-0.168,0.261,-0.792,23.315,-261.902,-89.355
0.027,0.064,-0.913,77.942,-250.122,-96.924
0.080,-0.194,-0.983,125.244,-254.211,-100.037
0.073,-0.259,-0.881,116.333,-267.639,-86.121
0.057,-0.196,-0.835,93.018,-282.532,-62.256
0.002,-0.107,-0.807,79.224,-296.204,-42.297
-0.060,-0.036,-0.723,71.472,-308.228,-30.945
-0.125,0.045,-0.580,77.148,-314.331,-24.536
-0.199,0.081,-0.482,96.252,-312.012,-25.635
-0.198,0.017,-0.404,117.249,-308.716,-24.841
-0.194,-0.040,-0.324,129.578,-308.533,-26.428
-0.211,-0.098,-0.265,140.076,-311.646,-28.625
-0.177,-0.161,-0.186,150.513,-322.205,-25.269
-0.198,-0.206,-0.076,154.968,-343.506,-20.508
-0.369,-0.255,0.242,150.452,-372.009,-16.052
-0.472,-0.233,0.572,136.780,-394.836,-12.024
-0.372,-0.226,0.686,119.385,-396.484,-8.362
-0.353,-0.267,0.703,109.924,-387.451,-4.761
-0.369,-0.265,0.782,109.680,-377.319,1.709
-0.479,-0.124,0.884,111.633,-368.408,10.864
-0.683,-0.001,1.126,124.023,-362.366,20.508
-0.776,0.125,1.590,144.775,-373.657,29.236
-0.673,0.164,2.055,159.424,-385.986,28.992
-0.522,0.120,2.384,162.170,-378.052,14.893
-0.245,0.081,2.524,146.545,-347.534,2.014
0.082,0.091,2.484,115.784,-302.551,1.221
0.077,0.083,2.312,85.632,-253.113,3.845
0.092,0.069,2.101,63.904,-218.628,16.235
0.005,0.110,1.879,46.448,-197.632,26.001
-0.240,0.235,1.852,36.804,-187.378,28.320
-0.299,0.325,1.945,41.748,-186.462,24.475
-0.272,0.390,2.105,52.917,-185.364,16.235
0.032,0.369,2.343,62.988,-177.917,7.080
-0.036,0.348,2.410,65.430,-162.476,1.343
0.100,0.328,2.362,53.650,-141.418,5.249
0.094,0.333,2.076,30.212,-116.882,6.409
0.032,0.347,1.705,6.042,-84.595,2.441
-0.048,0.355,1.427,-2.747,-66.650,4.639
-0.136,0.460,1.351,5.371,-64.636,5.432
-0.179,0.492,1.450,22.705,-67.200,2.686
-0.136,0.489,1.620,36.926,-69.092,-3.967
-0.068,0.462,1.710,39.490,-65.674,-12.390
-0.006,0.376,1.709,33.325,-55.176,-19.165
0.036,0.312,1.651,22.339,-43.518,-21.362
0.104,0.256,1.514,10.620,-31.128,-19.470
0.141,0.252,1.380,3.418,-21.973,-16.052
0.171,0.460,1.542,4.944,-15.991,-17.517
0.063,0.267,1.541,16.541,-9.216,-30.090
0.136,0.063,1.352,16.113,-3.601,-28.381
0.208,0.085,1.168,8.606,1.526,-10.498
0.187,0.220,1.080,-0.122,4.944,2.441
0.269,0.302,1.072,1.038,7.874,8.362
0.145,0.351,1.184,7.019,-0.366,6.714
0.016,0.369,1.363,12.207,-1.709,3.662
-0.038,0.418,1.676,18.127,-3.418,4.028
-0.089,0.459,2.103,21.729,-4.211,2.869
-0.157,0.490,2.529,22.095,-0.916,-0.549
-0.188,0.496,2.875,19.592,15.503,-5.676
-0.220,0.433,3.122,9.338,43.884,-15.442
-0.301,0.329,3.330,-5.188,75.012,-24.658
-0.356,0.270,3.508,-19.409,105.835,-26.062
-0.375,0.284,3.561,-32.654,139.038,-22.705
-0.512,0.102,3.578,-49.744,178.711,-22.827
-0.544,-0.009,3.369,-74.524,230.225,-29.663
-0.524,-0.121,3.059,-92.773,281.433,-30.396
-0.556,-0.232,2.812,-101.501,320.374,-26.062
-0.622,-0.316,2.687,-107.727,343.689,-19.409
-0.645,-0.402,2.559,-115.417,359.070,-11.292
-0.657,-0.427,2.380,-125.183,377.075,-3.967
-0.783,-0.462,2.159,-132.996,401.428,1.038

-1.100,-0.413,1.744,-129.883,465.149,25.879
-0.914,-0.369,1.423,-123.108,508.972,40.344
-0.881,-0.491,1.154,-115.112,520.996,51.697
-0.988,-0.440,1.043,-125.977,511.902,37.415
-1.071,-0.473,0.924,-164.246,489.136,36.499
-1.190,-0.631,0.667,-211.426,478.821,37.781
-1.356,-0.618,0.311,-255.310,473.633,39.429
-1.397,-0.511,0.002,-294.128,464.905,42.969
-1.447,-0.443,-0.273,-321.106,445.740,47.546
-1.523,-0.364,-0.516,-329.346,430.542,47.607
-1.551,-0.230,-0.759,-310.364,427.612,42.236
-1.560,-0.086,-1.073,-256.714,436.707,28.870
-1.380,-0.006,-1.499,-180.176,449.646,9.460
-1.150,0.031,-1.920,-95.337,437.683,-11.597
-0.977,-0.005,-2.297,-23.926,399.536,-32.227
-0.885,-0.151,-2.521,12.756,342.957,-53.650
-0.855,-0.387,-2.666,8.484,282.593,-71.350
-0.854,-0.639,-2.808,-25.208,223.145,-77.515
-0.964,-0.812,-3.007,-72.876,170.898,-65.552
-1.016,-0.805,-3.289,-105.469,126.465,-37.903
-0.997,-0.699,-3.546,-104.797,83.191,0.244
-0.948,-0.410,-3.608,-69.641,26.123,46.265
-0.726,-0.025,-3.437,-14.221,-38.025,83.008
-0.604,0.225,-3.010,46.997,-109.192,92.834
-0.618,0.284,-2.505,91.125,-171.326,74.829
-0.548,0.225,-1.985,104.919,-227.112,49.438
-0.378,0.169,-1.550,93.018,-265.503,26.001
-0.221,0.120,-1.221,68.970,-286.377,-0.366
-0.151,0.031,-0.903,55.786,-304.504,-24.170
-0.121,-0.088,-0.590,82.642,-314.453,-35.950
-0.070,-0.293,-0.724,133.362,-305.176,-30.640
-0.076,-0.258,-0.623,125.488,-307.312,-12.146
-0.129,-0.081,-0.494,87.769,-320.190,6.409
-0.160,0.004,-0.492,82.275,-326.782,18.005
-0.201,0.066,-0.485,91.919,-328.674,22.400
-0.265,0.133,-0.406,104.675,-332.031,21.057
-0.313,0.153,-0.269,126.099,-336.792,17.273
-0.357,0.162,-0.062,150.269,-342.773,12.451
-0.332,0.183,0.139,168.030,-348.328,3.845
-0.320,0.121,0.399,180.969,-354.309,-8.728
-0.287,-0.009,0.685,186.523,-359.741,-19.653
-0.229,-0.124,0.988,175.659,-363.770,-21.118
-0.132,-0.155,1.196,152.893,-362.000,-13.733
-0.090,-0.189,1.170,124.573,-353.210,-0.305
-0.229,-0.015,1.000,97.229,-339.783,16.724
-0.394,0.205,1.076,87.036,-338.562,31.677
-0.534,0.335,1.360,89.966,-355.286,35.522
-0.660,0.494,1.753,106.445,-358.154,25.513
-0.594,0.439,2.139,142.639,-351.685,10.132
-0.384,0.284,2.431,169.373,-332.581,-4.150
-0.077,0.148,2.631,174.011,-295.227,-10.498
0.196,0.044,2.607,155.396,-251.343,-3.479
0.351,0.050,2.317,110.535,-210.693,10.376
0.305,0.106,1.939,56.946,-180.237,22.949
