aX,aY,aZ,gX,gY,gZ
-1.674,0.409,0.594,33.020,-3.906,-84.656
-1.754,0.236,0.738,42.053,-15.869,-93.079
-1.755,0.082,0.865,24.719,-28.076,-85.938
-1.602,-0.150,1.079,-1.343,-39.429,-70.496
-1.485,-0.273,1.311,-17.334,-40.283,-58.167
-1.319,-0.394,1.495,-16.724,-28.259,-46.021
-1.287,-0.513,1.666,-6.531,-12.451,-29.053
-1.181,-0.453,1.733,-7.141,0.549,-10.742
-0.950,-0.332,1.745,-14.771,12.268,-1.221
-0.811,-0.205,1.712,-11.658,28.748,5.371
-0.693,-0.127,1.562,3.174,51.575,12.146
-0.750,-0.052,1.337,25.574,69.763,13.367
-0.861,-0.008,1.133,46.631,79.468,16.052
-0.865,0.003,0.926,52.490,78.796,22.461
-0.901,0.076,0.818,45.898,66.101,32.715
-1.012,0.152,0.834,36.499,51.025,41.809
-1.081,0.199,0.925,16.174,37.781,46.448
-1.144,0.238,1.087,-15.991,28.381,49.438
-1.198,0.252,1.248,-49.194,27.222,51.819
-1.255,0.259,1.331,-77.637,32.959,51.941
-1.271,0.238,1.312,-91.370,46.204,51.758
-1.197,0.239,1.264,-82.581,60.608,54.626
-1.192,0.357,1.242,-54.749,76.172,58.594
-1.233,0.462,1.211,-13.245,92.346,54.382
-1.153,0.509,1.026,25.635,102.173,41.626
-1.023,0.492,0.864,49.133,103.210,32.593
-0.918,0.442,0.775,59.387,99.976,30.579
-0.808,0.358,0.718,61.279,94.910,30.396
-0.617,0.250,0.671,61.401,87.646,31.677
-0.472,0.231,0.687,67.505,75.806,38.086
-0.385,0.306,0.751,80.078,62.439,45.715
-0.260,0.340,0.801,95.337,47.119,47.180
-0.066,0.344,0.833,102.173,30.823,42.542
0.119,0.335,0.852,96.680,22.278,34.119
0.358,0.250,0.824,85.022,22.339,26.367
0.594,0.113,0.758,66.467,26.306,22.949
0.670,0.012,0.700,44.922,29.297,22.095
0.672,-0.085,0.652,22.827,31.799,22.583
0.736,-0.117,0.580,4.456,31.555,21.606
0.667,-0.147,0.596,-1.892,25.330,17.944
0.633,-0.185,0.666,-1.831,17.334,15.625
0.670,-0.179,0.701,-1.343,6.409,17.212
0.685,-0.161,0.726,2.319,-4.456,23.132
0.672,-0.125,0.806,9.766,-8.301,25.635
0.774,-0.155,0.779,6.104,-14.282,27.283
0.797,-0.140,0.801,-2.319,-20.142,25.696
0.652,-0.130,0.867,-7.629,-20.020,21.301
0.790,-0.248,0.843,-16.846,-15.320,17.578
0.819,-0.267,0.828,-28.748,-18.005,21.912
0.670,-0.191,0.870,-28.015,-25.146,32.837
0.712,-0.153,0.877,-17.761,-32.532,40.833
0.807,-0.065,0.905,-5.859,-42.969,44.861
0.785,0.019,0.950,9.277,-50.842,45.227
0.888,0.014,0.924,17.334,-52.551,43.274
0.902,0.086,0.909,13.367,-52.490,40.710
0.949,0.091,0.858,10.254,-50.598,36.255
0.990,0.089,0.830,9.766,-49.011,31.860
0.953,0.149,0.831,8.057,-51.270,30.457
0.901,0.177,0.882,7.385,-54.871,31.067
0.866,0.204,0.940,6.470,-58.716,28.381
0.852,0.229,1.006,6.531,-61.279,23.499
0.852,0.248,1.081,7.385,-60.974,15.747
0.885,0.219,1.116,3.540,-55.847,4.578
0.904,0.169,1.100,-4.333,-45.471,-7.019
0.868,0.156,1.078,-9.827,-34.302,-16.846
0.819,0.139,1.076,-11.475,-25.085,-26.184
0.743,0.110,1.072,-17.944,-22.217,-31.860
0.710,0.078,1.123,-25.574,-13.733,-32.471
0.660,0.030,1.161,-35.522,-8.850,-32.471
